wmo,cycle,lat,lon,bnw,bbp700_surface_mean3,delta_bbp
1902493,8,-31.288,-0.6669999999999732,0.0020815862808376,0.0005329912722421,0.0015485950085955
1902493,28,-31.335,-4.7309999999999945,0.0007864189101383,0.0007430134767976,4.340543334069996e-05
1902493,33,-29.728,-7.584000000000003,0.0010045183589681,0.0005316356158194,0.0004728827431487001
1902493,36,-29.491,-8.586999999999989,0.0012906617484986,0.0004537020189066,0.000836959729592
1902493,39,-29.392,-8.456999999999994,0.0029071080498397,0.0004557907911172,0.0024513172587224998
1902495,15,-19.583,0.0020000000000095497,0.0048081367276608,0.0007220968060816,0.0040860399215792
1902495,21,-19.371,-0.535000000000025,0.0063908440060913,0.0009559945125753,0.005434849493516
1902495,33,-19.209,-1.8940000000000055,0.0032031047157943,0.0005275800164478,0.0026755246993465003
1902495,37,-17.228,-1.8410000000000082,0.0016751046059653,0.0005856519759011,0.0010894526300642
1902495,41,-19.072,-2.629000000000019,0.0014233133988454,0.0005636075511574,0.0008597058476879999
1902496,11,-16.112,-2.704999999999984,0.0034745119046419,0.000570292235352,0.0029042196692899
1902496,22,-15.91,-2.062999999999988,0.0021392202470451,0.0009670618843908,0.0011721583626542998
1902496,34,-15.422,-1.7819999999999823,0.002574339043349,0.0004900122973291,0.0020843267460199
1902496,36,-15.287,-1.3980000000000246,0.0011481414549052,0.0005657837803786,0.0005823576745266
1902496,40,-15.88,-1.002999999999986,0.0008328797412104,0.0005222499603405,0.0003106297808699001
1902497,5,-12.117,1.5360000000000014,0.000636312062852,0.0004456825651383,0.00019062949771369995
1902497,6,-12.412,1.6529999999999916,0.001657917862758,0.0005068408985001,0.0011510769642579
1902499,17,-3.953,-5.314999999999998,0.0007579679368063,0.001325643621385,-0.0005676756845787
1902500,10,-23.561,-1.0400000000000205,0.0041481195949018,0.0004971440842685,0.0036509755106333003
1902500,12,-23.683,-1.3050000000000068,0.0052429144270718,0.0005289801241209,0.0047139343029509
1902500,14,-23.828,-1.440999999999974,0.0017843923997133,0.0005243334647578,0.0012600589349555
1902500,33,-21.431,-2.180999999999983,0.001209961483255,0.0004788727286116,0.0007310887546434
1902500,35,-20.931,-2.4499999999999886,0.003158462466672,0.0004730576571697,0.0026854048095023
1902500,36,-20.996,-2.019999999999982,0.0013800981687381,0.0006416803807951,0.000738417787943
1902500,37,-21.117,-1.3410000000000082,0.0009530527167953,0.0006058208916025,0.0003472318251928
1902500,39,-20.964,0.2050000000000125,0.002835321938619,0.0005540926164637,0.0022812293221553
1902500,41,-21.325,1.1999999999999886,0.0010489812120795,0.0006725532972874,0.00037642791479210007
1902501,29,-5.771,-91.09300000000002,0.002806975506246,0.0013235527245948,0.0014834227816512002
1902652,1,11.773,-111.519,0.0011896936921402,0.0007960332441143,0.0003936604480259001
1902652,3,11.763,-111.891,0.001860570628196,0.0006407103889311,0.0012198602392649001
1902722,2,-22.209,-34.47500000000002,0.001141304266639,0.000623241920645,0.0005180623459940001
1902742,1,28.721,-74.447,0.0022454040590673,0.0007797790846476,0.0014656249744196999
1902742,2,28.784,-74.40499999999997,0.0023060489911586,0.0009220134428081,0.0013840355483504998
1902742,3,28.796,-74.67500000000001,0.0017355899326503,0.0008526570939769,0.0008829328386733999
1902742,5,28.726,-75.76400000000001,0.0005552026559598,0.0009254676794322,-0.00037026502347239996
1902742,7,28.266,-75.822,0.0007180795655585,0.0007719698284442,-5.3890262885699985e-05
2903439,15,-34.917,-109.831,0.0017495355568826,0.0007027973964189,0.0010467381604636998
2903440,8,-37.658,-99.29000000000002,0.0016906559467315,0.0006035063803816,0.0010871495663499
2903440,9,-37.685,-99.46499999999996,0.0057056886143982,0.0007127397111617,0.0049929489032365
2903441,13,-39.538,-88.68299999999999,0.0021269153803586,0.0008373879827558,0.0012895273976028
2903442,5,-40.541,-78.88600000000002,0.0073950937949121,0.0025918112757305,0.0048032825191815995
