wmo,cycle,lat,lon,rel_delta
2903465,68,-5.615,93.918,0.5660320855297798
2903465,69,-5.836,94.52800000000002,-245.90464625610323
2903466,48,1.248,66.457,0.619289852411318
2903466,49,1.412,65.92700000000002,0.5252161857940081
2903466,50,1.091,65.011,0.5118393739540265
2903466,63,-1.157,74.559,0.7857677952788
2903468,29,-18.909,100.72800000000001,0.7886574505478768
2903468,31,-19.374,100.86900000000003,0.04958087008723063
2903468,33,-18.816,100.96100000000001,0.22056641172147048
2903468,38,-18.206,98.678,0.9075598710971867
2903468,39,-18.227,98.09800000000001,0.11424934653343974
2903468,40,-18.355,97.548,0.6294323410770328
2903468,46,-18.704,96.73000000000002,0.35586623998002537
2903468,48,-18.241,96.24200000000002,0.875242388999623
2903468,53,-18.181,95.97399999999999,0.7846765719102602
2903468,57,-18.541,97.572,0.5340866460071435
2903468,60,-19.239,97.02699999999999,0.19985727952345694
2903472,32,-41.079,34.997000000000014,-0.0961583910082686
2903856,28,1.387,-168.199,0.5621438332938943
2903856,30,1.09,-170.164,0.7812209824934062
2903856,32,0.887,-172.214,0.5397518622997417
2903856,34,1.342,-174.341,0.5234549881760976
2903856,40,1.277,-178.81,0.19740589859502575
2903856,55,0.774,178.73900000000003,0.28739652082934325
2903856,56,0.324,179.15800000000002,0.08347560052536161
2903858,39,-16.968,-79.67000000000002,0.14374773450086822
2903858,40,-17.045,-79.76600000000002,0.3632234785096069
2903858,41,-16.935,-79.96600000000001,-0.05193931390521989
2903858,44,-16.523,-80.75,0.73415965597747
2903939,1,-18.95,5.811000000000007,0.531502148989223
2903940,2,-15.632,-10.009000000000015,0.6518758012883403
2903940,3,-15.456,-10.019000000000005,0.5937405483842423
2903940,4,-15.406,-10.011000000000024,0.6132370119038272
2903941,2,-15.875,-19.605000000000018,0.4411667963957293
2903941,3,-15.751,-19.944999999999993,0.4732812895181348
3902261,25,58.832,-23.88900000000001,-0.3099698377119369
3902332,1,41.957,-46.14699999999999,0.5398337792343667
3902334,4,38.096,-63.67700000000002,0.14891035342704656
3902340,1,20.396,-177.844,0.8210962245336377
3902340,3,20.155,-177.195,0.5809868539707912
3902340,13,19.768,-176.429,0.6247957172018263
3902340,14,19.892,-176.673,0.4723702970046598
3902340,17,20.233,-177.732,0.7621701274151204
3902340,19,20.457,-178.428,0.6082806701595198
3902341,2,15.153,154.183,0.5997366733593441
3902341,4,14.583,154.37599999999998,-0.004068116636147183
3902341,10,14.806,158.40999999999997,0.8137627997907485
