wmo,profile,lat,lon,bnw,bbp700_first3_mean,delta_bbp
1902384,97,19.27,-42.77999999999997,0.0010396135039627,0.000497,0.0005426135039626999
1902384,100,19.188,-41.66699999999997,0.0015693565364927,0.000511,0.0010583565364927
1902384,112,19.344,-41.05500000000001,0.0024405939038842,0.000556,0.0018845939038842
1902385,80,24.994,-55.40499999999997,0.0006731910980306,0.0004109999999999,0.0002621910980307
1902385,82,25.584,-56.418000000000006,0.0009749325690791,0.0004796666666666,0.0004952659024125
1902385,84,26.777,-57.115999999999985,0.0009449670324102,0.0005173333333333,0.00042763369907689996
1902385,90,25.544,-58.12099999999998,0.0003523727355059,0.0004823333333333,-0.00012996059782740003
1902385,92,25.143,-58.93599999999998,0.0011698745656758,0.0004573333333333,0.0007125412323425
1902385,93,24.86,-59.285000000000025,0.0008710545371286,0.0006306666666666,0.000240387870462
1902385,94,24.662,-59.519000000000005,0.0006449017091654,0.0004233333333333,0.00022156837583210004
1902385,95,24.691,-59.668000000000006,0.0013539808569476,0.0004309999999999,0.0009229808569477
1902385,97,25.238,-59.95600000000002,0.0028947608079761,0.00043,0.0024647608079761004
1902385,102,26.394,-60.83600000000001,0.0020868552383035,0.0005706666666666,0.0015161885716369
1902385,111,25.623,-60.910000000000025,0.0012012725928798,0.000463,0.0007382725928797999
1902385,112,25.582,-60.61099999999999,0.0008346286485902,0.0003816666666666,0.00045296198192360004
1902385,113,25.468,-60.10700000000003,0.0001560343225719,0.0004179999999999,-0.000261965677428
1902385,116,25.569,-58.250999999999976,0.0035150717012584,0.0004559999999999,0.0030590717012585
1902385,118,26.034,-58.137,0.0020301896147429,0.0004346666666666,0.0015955229480763002
1902453,36,-2.189,72.368,0.0009484939510002,0.0005936666666666,0.0003548272843336
1902453,62,-3.52,74.47300000000001,0.0010020685149356,0.00059,0.00041206851493560005
1902453,64,-3.521,73.84199999999998,0.0007056036265566,0.0005173333333333,0.00018827029322329995
1902453,68,-3.207,74.70999999999998,0.0009270827285945,0.00056,0.0003670827285945001
1902454,47,2.749,57.13300000000001,0.0009536797297187,0.0009713333333333,-1.7653603614599996e-05
1902454,50,2.03,57.172,0.0011498010717332,0.0008176666666666,0.00033213440506660015
1902454,51,2.735,57.293000000000006,0.000506609736476,0.0007396666666666,-0.00023305693019060004
1902454,52,3.975,57.994,0.0021074309479445,0.0007743333333333,0.0013330976146111997
1902454,53,2.54,57.857,0.0020854454487562,0.0006283333333333,0.0014571121154229002
1902454,55,1.973,55.760999999999996,0.0013613133924081,0.001371,-9.68660759190004e-06
1902454,56,2.18,55.08600000000001,0.0006016819388605,0.0013319999999999,-0.0007303180611394001
1902455,52,2.493,70.45600000000002,0.0016387226060032,0.0005953333333333,0.0010433892726699001
1902455,65,2.212,74.423,0.0031144886743277,0.000569,0.0025454886743277
1902455,69,2.979,73.668,0.0013036140007898,0.0006103333333333,0.0006932806674564999
1902456,33,-26.363,56.827,0.0022681332193315,0.0005676666666666,0.0017004665526648998
1902456,36,-25.837,55.623999999999995,0.0010690297931432,0.0006036666666666,0.0004653631264766
1902456,38,-25.566,54.260999999999996,0.0001687195763224,0.0005896666666666,-0.0004209470903442001
1902456,40,-25.305,52.85499999999999,0.0025220941752195,0.0007143333333333,0.0018077608418862
1902456,41,-25.465,51.77799999999999,0.0003904394397977,0.0006533333333333,-0.00026289389353559994
1902456,42,-25.887,51.49799999999999,0.0004216976522002,0.000648,-0.00022630234779980003
1902456,43,-26.139,51.339,0.0016081364592537,0.0006943333333333,0.0009138031259204
1902456,44,-26.265,51.170000000000016,0.0008676188299432,0.0007233333333333,0.00014428549660989998
1902456,45,-26.185,51.170000000000016,0.0030835152138024,0.0007663333333333,0.0023171818804691
1902456,47,-25.865,51.90100000000001,0.0016844664933159,0.0008033333333333,0.0008811331599826
1902456,51,-24.792,53.14099999999999,0.0007666999590583,0.0005059999999999,0.00026069995905840006
1902456,54,-23.716,54.905,0.0011869042646139,0.0005163333333333,0.0006705709312805999
1902456,58,-24.477,56.18099999999998,0.0018421685090288,0.000498,0.0013441685090288
1902456,59,-23.861,56.105999999999995,0.0030808958690613,0.0006793333333333,0.002401562535728
1902456,66,-25.254,55.74199999999999,0.0008680343162268,0.0005536666666666,0.0003143676495602
1902456,68,-25.424,55.857,0.0006266622804105,0.0005426666666666,8.39956137439e-05
1902457,31,5.941,66.221,0.0006761504337191,0.0006983333333333,-2.2182899614200014e-05
1902457,51,6.037,67.638,0.0019421526230871,0.000498,0.0014441526230871001
1902457,52,6.219,67.63999999999999,0.0015468437923118,0.0005426666666666,0.0010041771256452
1902457,57,5.979,67.541,0.001890497165732,0.0009166666666666,0.0009738304990654001
1902457,65,5.296,67.81700000000001,0.0022309459745883,0.0006033333333333,0.0016276126412550001
1902457,66,5.547,67.95499999999998,0.0011808145791292,0.0007599999999999,0.0004208145791293
1902457,67,6.171,68.98000000000002,0.0007549376459792,0.0005683333333333,0.0001866043126459001
1902458,50,12.927,67.83699999999999,0.0007047070539556,0.000572,0.0001327070539556
1902458,60,12.742,67.261,0.000386285217246,0.000664,-0.000277714782754
1902458,63,12.359,67.31700000000001,0.0009144394425675,0.0010596666666666,-0.00014522722409910011
1902458,64,12.396,67.261,0.0006543332710862,0.0006313333333333,2.2999937752900073e-05
1902458,65,12.414,67.24799999999999,0.0007873317226767,0.0007786666666666,8.665056010100027e-06
1902458,66,12.242,67.311,0.0003919664013665,0.0007303333333333,-0.0003383669319668
1902458,67,12.039,67.24799999999999,0.0004388890229165,0.000778,-0.00033911097708350004
1902490,6,-29.092,1.0529999999999973,0.0020252005197107,0.000489,0.0015362005197107
1902490,8,-29.715,0.15799999999998704,0.0020233991090208,0.0005393333333333,0.0014840657756875
1902490,14,-30.794,-0.6890000000000214,0.0042337267659604,0.0005033333333333,0.0037303934326271
1902490,26,-31.218,-2.4110000000000014,0.0012622198555618,0.0006003333333333,0.0006618865222285
1902490,33,-32.133,-4.845000000000027,0.0014448537258431,0.000475,0.0009698537258431002
1902492,31,-1.274,-2.901999999999987,2.8718220619339263e-06,0.0008653333333333,-0.0008624615112713661
