wmo,profile,file,bbp700_top20m_median,n_values_used
3902342,103,3902342QC.nc,0.00035999999999999997,10
3902342,112,3902342QC.nc,0.000388,10
3902342,89,3902342QC.nc,0.000377,10
3902342,98,3902342QC.nc,0.00037,10
3902342,107,3902342QC.nc,0.00037,10
3902342,228,3902342QC.nc,0.00040399999999999995,10
3902342,93,3902342QC.nc,0.0003565,10
3902342,88,3902342QC.nc,0.00037200000000000004,10
3902342,182,3902342QC.nc,0.000398,10
3902342,181,3902342QC.nc,0.000378,10
3902342,135,3902342QC.nc,0.00038199999999999996,10
3902342,256,3902342QC.nc,0.000354,10
3902342,265,3902342QC.nc,0.000359,10
3902342,121,3902342QC.nc,0.000379,10
3902342,130,3902342QC.nc,0.000379,10
3902342,139,3902342QC.nc,0.000379,10
3902342,269,3902342QC.nc,0.00035800000000000003,10
3902342,125,3902342QC.nc,0.00037799999999999997,10
3902342,134,3902342QC.nc,0.00036700000000000003,10
3902342,264,3902342QC.nc,0.00033,10
3902342,102,3902342QC.nc,0.000361,10
3902342,111,3902342QC.nc,0.000392,10
3902342,120,3902342QC.nc,0.00039400000000000004,10
3902342,129,3902342QC.nc,0.000399,10
3902342,138,3902342QC.nc,0.000384,10
3902342,268,3902342QC.nc,0.000336,10
3902343,2,3902343QC.nc,0.00032050000000000004,10
3902343,24,3902343QC.nc,0.000346,9
3902343,10,3902343QC.nc,0.000363,9
3902343,0,3902343QC.nc,0.000368,9
