wmo,profile,lat,lon,giop_bbp_700,bbp700_first3_mean,rel_dbbp_giop
1902384,97,19.27,-42.77999999999997,0.0008159595308825,0.000497,0.39090116459272145
1902384,100,19.188,-41.66699999999997,0.0010617905063554,0.000511,0.5187374562671413
1902384,112,19.344,-41.05500000000001,0.001341578667052,0.000556,0.5855628792743398
1902385,80,24.994,-55.40499999999997,0.0005307778483256,0.0004109999999999,0.2256647460016523
1902385,82,25.584,-56.418000000000006,0.0006347045418806,0.0004796666666666,0.24426778915844846
1902385,84,26.777,-57.115999999999985,0.0009372967178933,0.0005173333333333,0.4480580978709965
1902385,90,25.544,-58.12099999999998,0.0003010517102666,0.0004823333333333,-0.6021610802548301
1902385,92,25.143,-58.93599999999998,0.0008388818241655,0.0004573333333333,0.4548298459222853
1902385,93,24.86,-59.285000000000025,0.0006796244997531,0.0006306666666666,0.07203659241873399
1902385,94,24.662,-59.519000000000005,0.0005187853821553,0.0004233333333333,0.1839914001150984
1902385,95,24.691,-59.668000000000006,0.0007391428225673,0.0004309999999999,0.41689212579662593
1902385,97,25.238,-59.95600000000002,0.001306391088292,0.00043,0.6708489487920574
1902385,102,26.394,-60.83600000000001,0.0010270080529153,0.0005706666666666,0.4443406115008678
1902385,111,25.623,-60.910000000000025,0.0007314517279155,0.000463,0.3670122274241351
1902385,112,25.582,-60.61099999999999,0.0005697874585166,0.0003816666666666,0.3301595867690011
1902385,113,25.468,-60.10700000000003,0.0002871344331651,0.0004179999999999,-0.4557641011294293
1902385,116,25.569,-58.250999999999976,0.0018802939448505,0.0004559999999999,0.7574847266573759
1902385,118,26.034,-58.137,0.0015619607875123,0.0004346666666666,0.7217172990886129
1902453,36,-2.189,72.368,0.0006681261002086,0.0005936666666666,0.11144518006219559
1902453,62,-3.52,74.47300000000001,0.000763998250477,0.00059,0.22774692267732904
1902453,64,-3.521,73.84199999999998,0.0006282555987127,0.0005173333333333,0.1765559520785496
1902453,68,-3.207,74.70999999999998,0.0007217557867988,0.00056,0.22411429150604348
1902454,47,2.749,57.13300000000001,0.0007983347168192,0.0009713333333333,-0.2166993528771708
1902454,50,2.03,57.172,0.0009939715964719,0.0008176666666666,0.1773742131375726
1902454,51,2.735,57.293000000000006,0.0005716296727769,0.0007396666666666,-0.29396128628767454
1902454,52,3.975,57.994,0.0010518465423956,0.0007743333333333,0.263834312208945
1902454,53,2.54,57.857,0.0013566138222813,0.0006283333333333,0.5368369958985924
1902454,55,1.973,55.760999999999996,0.0011113203363493,0.001371,-0.2336676970240198
1902454,56,2.18,55.08600000000001,0.000625463319011,0.0013319999999999,-1.0
1902455,52,2.493,70.45600000000002,0.0009898877469822,0.0005953333333333,0.398585006079477
