# Gordon coefficients (with constant) fitted from Loisel23
# Source: Loisel23 elastic; 3-parameter fit (G0 + G1·u + G2·u²)
# Standard G1: 0.0949
# Standard G2: 0.0794
# Rrs<->rrs convention: A=0.52, B=1.7
# weight_mode: relative
#
wavelength,G0,G1,G2,G0_err,G1_err,G2_err,rRMS,RMS
540.0,0.0007487159617491925,0.06781807249444337,0.19484795291493345,1.1727296226641112e-05,0.0006264896101322274,0.008073645315350193,0.015366532915088597,5.072228441973796e-05
545.0,0.0006994208175406576,0.06717290188596359,0.21132981004187806,8.228523825227465e-06,0.00046906189193357545,0.0064104649935474226,0.012985133148344152,4.067247806929244e-05
550.0,0.000620435352830557,0.06761852308082826,0.21742802666254965,5.395819807678598e-06,0.00033526150331884385,0.004954040782636923,0.010647390872692687,3.122390718200766e-05
555.0,0.0005687489289194231,0.06813430660533162,0.21923697569681405,3.985048899238132e-06,0.0002608720743047665,0.004034000863794689,0.009155458139258372,2.5904178523493963e-05
560.0,0.000527293250820277,0.06864093827056172,0.21965803404390982,3.0899122434826096e-06,0.0002109128801635293,0.003379108035525171,0.008048407258282635,2.216378638926819e-05
565.0,0.0004887301675927883,0.06916458624801539,0.2190200762858844,2.454893604548811e-06,0.0001748844998977093,0.0029065208831213166,0.007183137684524295,1.9223518966853014e-05
570.0,0.00043216329681934124,0.07000604656598851,0.21594380344147732,1.8106941181436182e-06,0.00013971460769727053,0.002494683858164416,0.00625766347069695,1.5799818724293513e-05
575.0,0.00037131795228336617,0.0709676808608941,0.2109074628788425,1.3001792253655036e-06,0.00011151992816081802,0.0021938150012763766,0.005429756271807758,1.2642692171450781e-05
580.0,0.0003045119369349012,0.07205962058692046,0.20400637791303364,8.776190423838578e-07,8.715828680864099e-05,0.0019638277608618575,0.004641334493311007,9.587939940636524e-06
585.0,0.00023561095931289494,0.07321547335232814,0.1954501122467054,5.523641274281214e-07,6.694190873942106e-05,0.0018163088097250253,0.003928032653684034,6.795455947659507e-06
590.0,0.00018277709760109302,0.07410848154257095,0.18844573264284809,3.6045061372454005e-07,5.347551558216062e-05,0.001752372123863787,0.0034251855953482827,4.872675918087406e-06
